number,value,datetime_start,datetime_complete,duration,params_agg_num_layers,params_alpha_physics,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
22,0.9887250650477016,2025-11-08 14:28:51.245765,2025-11-08 14:35:00.687169,0 days 00:06:09.441404,2,0.32752980445421764,128,8,0.42216347762424683,13,72,4.944431991144681,16,128,0.00017590963987421972,4,0.06247398596971468,0.33760657566044017,8,10,0.0008449370405075864,COMPLETE
23,0.0,2025-11-08 14:35:00.687169,2025-11-08 14:35:01.668620,0 days 00:00:00.981451,2,0.3384484492118451,128,10,0.4307047646042105,13,69,4.837426197540221,16,128,0.00026846405308760435,4,0.06668612264751407,0.3420163082305847,9,10,0.0009344124157445959,COMPLETE
24,0.9853068280034573,2025-11-08 14:35:01.669619,2025-11-08 14:44:16.548324,0 days 00:09:14.878705,3,0.17490899703459745,128,8,0.49155380585406494,12,70,4.513989874012713,16,128,0.0005540021256405397,4,0.07697498205074332,0.27541314924561155,8,9,0.0007407696341717587,COMPLETE
25,0.9895833333333334,2025-11-08 14:44:16.548324,2025-11-08 14:53:23.978193,0 days 00:09:07.429869,2,0.33028831595587005,128,6,0.3966150849481749,14,50,4.98412032029804,16,128,0.00015168580293057398,4,0.05543218653115145,0.38354972810156,6,9,0.0008055981718851225,COMPLETE
26,0.986990459670425,2025-11-08 14:53:23.979193,2025-11-08 15:03:20.146641,0 days 00:09:56.167448,3,0.10509958925501103,128,6,0.3875478855824122,14,50,4.531781978671535,16,128,0.00011631994929220353,3,0.031155597184102414,0.5614804044287911,6,9,0.0002979957339513054,COMPLETE
27,0.9904926534140017,2025-11-08 15:03:20.147641,2025-11-08 15:12:41.235199,0 days 00:09:21.087558,2,0.22724040685815944,128,6,0.45338923385591445,12,80,4.19065731337508,16,128,0.0005275620822175953,5,0.05780033535326447,0.43786078437732684,5,9,0.0006120231346252098,COMPLETE
28,0.0,2025-11-08 15:12:41.235199,2025-11-08 15:12:42.245633,0 days 00:00:01.010434,1,0.21015275640426395,128,9,0.472012991583177,12,81,4.2099726151528,16,128,0.0007213066509986665,6,0.09405126095232606,0.49595666420325324,5,8,0.0006090219342562525,COMPLETE
29,0.9676320272572402,2025-11-08 15:12:42.246632,2025-11-08 15:18:31.693177,0 days 00:05:49.446545,1,0.16395557705025454,128,4,0.4649182143985702,12,93,4.5982919514731675,8,128,0.001203798584520505,5,0.007009581346071892,0.2561325414852661,4,8,0.00041883350220475344,COMPLETE
30,0.9896193771626297,2025-11-08 15:18:31.694177,2025-11-08 15:28:10.734000,0 days 00:09:39.039823,2,0.4788654431023833,128,6,0.45959847033300955,11,61,4.0078732144015765,16,128,0.0003854391243201278,5,0.01169235665291403,0.4584997689899824,4,9,0.000978439886729456,COMPLETE
31,0.9853826311263972,2025-11-08 15:28:10.734000,2025-11-08 15:36:31.674567,0 days 00:08:20.940567,2,0.7645909881528561,128,6,0.4551401662969686,11,62,3.9801431348823813,16,128,0.00036421868750327217,5,0.012448371424257762,0.44158260153384865,4,9,0.00099776532627794,COMPLETE
