number,value,datetime_start,datetime_complete,duration,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
20,0.9054163298302345,2025-11-08 15:48:50.012483,2025-11-08 15:53:56.128065,0 days 00:05:06.115582,64,5,0.3338374506980135,19,141,3.634938048847581,4,128,0.001746678272397235,3,0.014667113790166773,0.8281083013726449,8,3,0.00046840177090910615,COMPLETE
21,0.986990459670425,2025-11-08 15:53:56.129064,2025-11-08 16:26:07.293464,0 days 00:32:11.164400,32,7,0.38119646995286727,14,129,1.1451505111968325,4,128,0.00021236599808401686,4,0.0014654993632091907,0.7654957089518755,8,1,0.0002306395129501873,COMPLETE
22,0.9887054735013032,2025-11-08 16:26:07.294463,2025-11-08 16:44:24.874009,0 days 00:18:17.579546,32,9,0.3685852588993591,10,106,2.5206984651471975,4,128,0.0001860898913721641,4,0.0044999328426560585,0.7211713936977132,10,1,0.00018709240246113433,COMPLETE
23,0.9013100436681223,2025-11-08 16:44:24.875009,2025-11-08 16:52:03.029140,0 days 00:07:38.154131,32,6,0.29920036660246074,14,142,1.676368433675742,4,128,0.0006526823746323072,4,0.0027498608900029067,0.8924777203492275,8,3,0.00047072590159870153,COMPLETE
24,0.9947826086956522,2025-11-08 16:52:03.029140,2025-11-08 17:19:33.894234,0 days 00:27:30.865094,32,7,0.33843920195918265,17,129,2.323150191449634,4,128,0.0002527081316879904,4,0.0017025875523647871,0.8164808852433628,7,2,0.00011696493288596488,COMPLETE
25,0.9896193771626297,2025-11-08 17:19:33.894234,2025-11-08 17:47:58.653113,0 days 00:28:24.758879,32,9,0.27283934246207675,17,129,2.273380449062017,4,64,0.000292074943541959,3,0.00552565621948264,0.8281805053621791,7,2,7.433959488080597e-05,COMPLETE
26,0.9887054735013032,2025-11-08 17:47:58.654112,2025-11-08 17:56:40.163278,0 days 00:08:41.509166,64,4,0.3173834496308278,17,105,2.8616048200196103,8,128,0.0004836488720601156,4,0.0029400394588014467,0.6125838184060476,10,5,0.00011802751539125757,COMPLETE
27,0.9965217391304347,2025-11-08 17:56:40.164278,2025-11-08 18:20:39.087073,0 days 00:23:58.922795,64,5,0.351256082420865,20,145,2.3213084800857704,4,128,0.00013755227734553013,4,0.006299995297632639,0.8891471315048688,6,3,6.137567263914829e-05,COMPLETE
28,0.9904926534140017,2025-11-08 18:20:39.088072,2025-11-08 18:34:28.468296,0 days 00:13:49.380224,128,5,0.3918336936744705,20,128,2.1837675215673604,4,128,0.00014096620905570183,5,0.012500871462002726,0.8275258661224543,6,3,5.37161314447479e-05,COMPLETE
29,0.8860544217687075,2025-11-08 18:34:28.468296,2025-11-08 18:42:53.207544,0 days 00:08:24.739248,32,4,0.42567341595047914,19,148,1.7180258914814077,4,64,0.0024046288449797114,3,0.0010946491807142865,0.6855373555371352,6,4,4.811123128911728e-05,COMPLETE
30,0.9895470383275261,2025-11-08 18:42:53.208543,2025-11-08 19:00:04.838522,0 days 00:17:11.629979,128,8,0.4565648880095002,20,110,2.33308556582227,4,128,0.00027197569108489795,4,0.0020322624282095407,0.724277443588484,7,2,2.6928885368354274e-05,COMPLETE
