number,value,datetime_start,datetime_complete,duration,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
17,0.8507795100222717,2025-11-08 16:11:33.015262,2025-11-08 16:14:03.950796,0 days 00:02:30.935534,128,7,0.1617539560611715,11,144,4.2337361545157846,4,128,2.620121789607226e-05,2,0.835062729593245,9,7,2.5673222712860066e-05,COMPLETE
18,0.8988566402814424,2025-11-08 16:14:03.951796,2025-11-08 16:18:28.834042,0 days 00:04:24.882246,128,9,0.3967889725517634,16,99,4.246540763105914,4,256,0.0001483834451777183,6,0.6911357663181423,9,9,7.89570100916593e-05,COMPLETE
19,0.9815627743634767,2025-11-08 16:18:28.835042,2025-11-08 16:30:44.186483,0 days 00:12:15.351441,128,7,0.14993833065605372,19,111,3.2051289366715023,4,64,9.539339688151669e-05,3,0.8983945214706455,8,6,0.00016010027207524738,COMPLETE
20,0.9013100436681223,2025-11-08 16:30:44.187482,2025-11-08 16:37:10.852061,0 days 00:06:26.664579,128,11,0.2588774405868358,12,144,4.701628590573279,4,256,2.7027712017493594e-05,4,0.3668730478877611,10,7,2.6856765969298553e-05,COMPLETE
21,0.9852302345786272,2025-11-08 16:37:10.852061,2025-11-08 16:59:06.672718,0 days 00:21:55.820657,64,6,0.437503519805377,19,179,3.5063717779311534,16,128,1.69058714407177e-05,4,0.5539507229440379,5,2,0.0002880201455498097,COMPLETE
22,0.9836065573770492,2025-11-08 16:59:06.673717,2025-11-08 17:15:52.031337,0 days 00:16:45.357620,64,5,0.4957588628982365,19,154,4.079949184809734,2,128,1.9118382041797797e-05,4,0.2637924515842006,7,6,0.00016286789892112091,COMPLETE
23,0.9887640449438202,2025-11-08 17:15:52.032336,2025-11-08 17:28:50.274931,0 days 00:12:58.242595,128,9,0.43985832828858,17,171,3.400120021906937,16,128,6.209921935709488e-05,4,0.66589584977599,4,4,0.0004075151653319028,COMPLETE
24,0.9176276771004942,2025-11-08 17:28:50.274931,2025-11-08 17:34:38.569056,0 days 00:05:48.294125,128,9,0.35384320131768665,17,196,2.6277880898069332,4,128,6.888209193976236e-05,3,0.8996861477285611,4,4,0.0004680570105163166,COMPLETE
25,0.9153656532456861,2025-11-08 17:34:38.570056,2025-11-08 17:38:52.118482,0 days 00:04:13.548426,128,10,0.41171516827820925,18,137,4.640611999632769,4,128,0.00024220568514860693,4,0.6759183032233063,9,8,0.0004097016011469268,COMPLETE
26,0.9860627177700348,2025-11-08 17:38:52.119481,2025-11-08 17:51:59.547195,0 days 00:13:07.427714,128,11,0.2795013885812122,16,115,3.382268362245993,16,128,4.917290539589995e-05,3,0.7836614753034226,7,5,8.983107874328621e-05,COMPLETE
27,0.9845360824742269,2025-11-08 17:51:59.548195,2025-11-08 17:59:01.821005,0 days 00:07:02.272810,128,8,0.35361378526890674,17,169,2.9047940967350296,2,128,2.6950519560611874e-05,4,0.5383362225014553,8,6,0.0007163449307524943,COMPLETE
28,0.9194232400339271,2025-11-08 17:59:01.822004,2025-11-08 18:04:05.772715,0 days 00:05:03.950711,128,9,0.44894133688966065,20,156,3.986145726330074,4,64,8.849704385051566e-05,2,0.6465986114412418,4,4,0.0001558155259284531,COMPLETE
29,0.9214046822742475,2025-11-08 18:04:05.773715,2025-11-08 18:09:21.460641,0 days 00:05:15.686926,128,10,0.38808087443519945,15,188,4.47117081049349,16,256,0.0002635522507622059,5,0.7748888320410853,10,4,0.00035979339040998533,COMPLETE
30,0.9913194444444444,2025-11-08 18:09:21.460641,2025-11-08 18:56:56.418832,0 days 00:47:34.958191,32,12,0.3258434323033403,20,143,2.4589211512526465,16,128,1.8921580034293e-05,3,0.5292461532884208,7,8,6.424637537627034e-05,COMPLETE
31,0.9826689774696707,2025-11-08 18:56:56.418832,2025-11-08 19:30:57.985758,0 days 00:34:01.566926,32,12,0.33307467021969167,20,143,2.5497993133562113,16,128,2.014022861208669e-05,3,0.41437954697884777,7,8,6.461313007502426e-05,COMPLETE
32,0.9223057644110275,2025-11-08 19:30:57.986757,2025-11-08 19:48:40.280027,0 days 00:17:42.293270,32,11,0.340526692262516,19,169,1.7365833572694478,16,128,1.0625612333379769e-05,2,0.5226246868233572,6,9,0.000124728869490379,COMPLETE
33,0.9921942758022549,2025-11-08 19:48:40.280027,2025-11-08 20:29:08.596809,0 days 00:40:28.316782,32,12,0.3753801699699495,20,120,3.275797855498607,16,128,3.99142356221968e-05,3,0.8423498544798728,7,7,5.258453147914036e-05,COMPLETE
