number,value,datetime_start,datetime_complete,duration,params_agg_num_layers,params_alpha_physics,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
18,0.8507795100222717,2025-11-08 17:56:58.493021,2025-11-08 18:00:56.029012,0 days 00:03:57.535991,2,0.798379447800887,128,12,0.15833574673748568,19,103,1.760394378079791,2,128,0.0019884318818889834,3,0.02222544367950379,0.393242230436257,9,5,0.00015183148917312698,COMPLETE
19,0.9703315881326352,2025-11-08 18:00:56.030011,2025-11-08 18:13:45.478550,0 days 00:12:49.448539,1,0.12322521951016047,128,10,0.3257875378865789,15,63,0.771534825703112,4,256,0.0004523682793211353,6,0.106200821326631,0.14713552808373903,9,8,0.00010191952639997229,COMPLETE
20,0.9225589225589226,2025-11-08 18:13:45.479549,2025-11-08 18:26:27.128294,0 days 00:12:41.648745,2,0.6686093988401434,32,10,0.20964773284393143,18,163,2.515458040900551,16,64,0.0021262385296438218,4,0.028704167104605,0.4997651656100083,10,5,4.5852534849474226e-05,COMPLETE
21,0.9842657342657343,2025-11-08 18:26:27.128294,2025-11-08 18:41:05.409718,0 days 00:14:38.281424,3,0.8520164355065435,128,12,0.10538496363413202,18,141,3.092799530773835,16,64,5.4466578427972203e-05,4,0.05748871160503552,0.529715705247618,7,3,9.068636083189548e-05,COMPLETE
22,0.9194232400339271,2025-11-08 18:41:05.410717,2025-11-08 18:47:12.402857,0 days 00:06:06.992140,4,0.8273365668873895,128,12,0.1443515892646037,16,131,3.405802421952156,16,64,0.00015263689137149297,3,0.06907973373036512,0.378337894810192,7,3,8.991123413736835e-05,COMPLETE
23,0.9939288811795317,2025-11-08 18:47:12.403857,2025-11-08 19:02:56.400618,0 days 00:15:43.996761,4,0.8876216817063469,128,11,0.20576441215613012,16,152,2.858088788127887,16,64,8.100743548176945e-05,5,0.016962129655748354,0.21422744862447157,7,1,0.0002174006399507722,COMPLETE
24,0.9922077922077922,2025-11-08 19:02:56.401618,2025-11-08 19:17:47.887355,0 days 00:14:51.485737,3,0.8096669608064425,128,11,0.2687999777697955,16,178,2.429422701408047,16,64,0.0003271106389844871,6,0.01435113890013416,0.21687295473413493,8,1,0.000222006058496134,COMPLETE
25,0.9921942758022549,2025-11-08 19:17:47.888354,2025-11-08 19:37:10.806383,0 days 00:19:22.918029,3,0.6887886393405285,128,11,0.27333238036519375,15,177,2.1835127709083246,16,64,0.0003254052994493954,6,0.014054271759032103,0.18993147670736793,9,1,0.0002274930282193215,COMPLETE
26,0.9851268591426072,2025-11-08 19:37:10.807383,2025-11-08 19:45:10.745139,0 days 00:07:59.937756,3,0.7841217651232201,128,9,0.23478163803520796,16,185,1.686592381430722,16,64,0.000213570408695346,5,0.015770105311461006,0.2250967577687511,6,2,0.0004735235359735173,COMPLETE
27,0.9233361415332771,2025-11-08 19:45:10.746139,2025-11-08 19:48:36.026405,0 days 00:03:25.280266,2,0.5257520707928918,128,10,0.38512078243331005,14,157,2.55370338782364,4,64,0.0013173433451562618,6,0.029942765072534995,0.32704813684591455,5,1,0.0006776994320437833,COMPLETE
28,0.981691368788143,2025-11-08 19:48:36.027404,2025-11-08 19:57:34.948194,0 days 00:08:58.920790,1,0.8156828977507953,128,7,0.3036738579082822,19,155,3.47940897685939,2,128,0.0004260432847181841,7,0.014905800998469219,0.18628185108158724,7,2,0.00023828788173835383,COMPLETE
29,0.6825491363907088,2025-11-08 19:57:34.949194,2025-11-08 20:05:48.293457,0 days 00:08:13.344263,3,0.693414259402303,32,11,0.4825966467179451,12,182,1.4449559779641095,4,256,0.005350650217779473,5,0.03190553753486469,0.339928148488602,10,2,0.00012841799643475982,COMPLETE
30,0.9185059422750425,2025-11-08 20:05:48.293457,2025-11-08 20:13:31.365640,0 days 00:07:43.072183,2,0.32646747612549976,64,10,0.1989127362919839,16,166,1.244353089231148,16,64,3.766035488113394e-05,7,0.013379734800559063,0.2301513980200248,4,4,0.0001960877521149814,COMPLETE
31,0.9852558542931483,2025-11-08 20:13:31.365640,2025-11-08 20:23:02.033686,0 days 00:09:30.668046,3,0.6938835635333086,128,11,0.2647900504517091,15,177,2.212876628328951,16,64,0.0004343822452242809,6,0.01690163963243316,0.16978831233680175,9,1,0.00023456927358352734,COMPLETE
32,0.9834926151172894,2025-11-08 20:23:02.034685,2025-11-08 20:27:37.319824,0 days 00:04:35.285139,3,0.7865111605044558,128,11,0.2866149958881462,15,170,1.9674964766017737,16,64,0.0002727720885891423,6,0.012011447743340892,0.12337647636135575,9,1,0.00029368309276275607,COMPLETE
33,0.9826388888888888,2025-11-08 20:27:37.320824,2025-11-08 20:34:28.964752,0 days 00:06:51.643928,3,0.8351129391409189,128,11,0.31879454844611715,13,189,2.658451991276287,16,64,0.0010287301270068994,5,0.023039772185614715,0.1994644495779769,8,1,0.0001234398315245842,COMPLETE
34,0.9207161125319693,2025-11-08 20:34:28.964752,2025-11-08 20:41:23.188236,0 days 00:06:54.223484,2,0.6444660479975324,128,10,0.2563591192045338,16,177,2.33834812610182,16,128,0.0005183365428338286,6,0.010058929837008535,0.3145831391616186,9,2,0.00021083585778615513,COMPLETE
35,0.9798775153105862,2025-11-08 20:41:23.188236,2025-11-08 20:58:11.701481,0 days 00:16:48.513245,3,0.5708212909255903,64,9,0.22093804483808094,14,154,1.9963104052060028,4,64,0.00015195359567202562,7,0.019357346938170705,0.25122720757509953,8,1,0.0004312930891572215,COMPLETE
36,0.9904596704249783,2025-11-08 20:58:11.702481,2025-11-08 21:12:36.182100,0 days 00:14:24.479619,4,0.7090294118013499,128,7,0.34839782664614305,13,173,2.764954576359415,8,64,0.0003081397207764116,5,0.012683920983969796,0.10553293546755191,10,2,0.00017655351177341643,COMPLETE
37,0.8507795100222717,2025-11-08 21:12:36.183100,2025-11-08 21:23:39.674336,0 days 00:11:03.491236,4,0.7683641689015211,32,12,0.43377611406013616,18,51,3.9498365238252235,16,256,0.003657931868621104,7,0.02644466031963652,0.18191114655016852,9,7,0.0006481024359072726,COMPLETE
38,0.9177057356608479,2025-11-08 21:23:39.675336,2025-11-08 21:27:40.544373,0 days 00:04:00.869037,3,0.7263378400829629,128,11,0.2743204750955578,15,151,4.431841387744918,2,64,0.00023790385218413562,6,0.015965878411278684,0.35278446786428913,7,4,3.848307254178022e-05,COMPLETE
39,0.917726887192536,2025-11-08 21:27:40.545373,2025-11-08 21:43:35.436334,0 days 00:15:54.890961,2,0.8966250730939129,64,10,0.2418813699304767,14,162,3.1985643018625627,8,128,0.0011012188921656065,8,0.018845245245851832,0.2808784481903972,8,3,0.00012382237622069505,COMPLETE
40,0.9211409395973155,2025-11-08 21:43:35.437333,2025-11-08 22:05:15.418935,0 days 00:21:39.981602,3,0.8243341165341647,32,9,0.3118958520320957,16,124,2.349656005041714,16,64,0.0014542781141375527,4,0.03661982318489631,0.2189895188018524,10,5,0.00027826835178892896,COMPLETE
41,0.9887054735013032,2025-11-08 22:05:15.419935,2025-11-08 22:15:53.704295,0 days 00:10:38.284360,4,0.8672554935082819,128,12,0.15737006584532778,17,140,2.918092081778595,16,64,0.0001004524218706925,4,0.38219712252883475,0.49066345785062243,8,7,6.686669327123158e-05,COMPLETE
42,0.9878472222222222,2025-11-08 22:15:53.704295,2025-11-08 22:37:19.156038,0 days 00:21:25.451743,4,0.7636930574984492,128,12,0.12936494466327894,17,133,2.7217199793938054,16,64,3.062047019536372e-05,3,0.255698704539507,0.4333705916156041,8,9,3.216211566273923e-05,COMPLETE
43,0.9895833333333334,2025-11-08 22:37:19.157038,2025-11-08 22:46:48.476040,0 days 00:09:29.319002,4,0.8599744559033209,128,11,0.28365112119045505,17,193,3.6920890244520623,16,64,0.00012325476701714264,5,0.5298675323847275,0.5442405268016615,9,7,7.324884366976946e-05,COMPLETE
44,0.9886858137510879,2025-11-08 22:46:48.477039,2025-11-08 23:02:26.263584,0 days 00:15:37.786545,4,0.8017891207973183,128,12,0.18223803264043328,18,116,3.0083304951752994,16,64,5.416292837973678e-05,4,0.14505892010671848,0.15131861218643639,7,9,0.00015720732223358183,COMPLETE
45,0.9178662150719729,2025-11-08 23:02:26.264584,2025-11-08 23:10:20.145847,0 days 00:07:53.881263,4,0.8751671309338408,128,11,0.22692123156319766,16,142,2.4341584625141,16,256,0.0002058516218027608,5,0.047421372604157845,0.2972289723200377,8,1,0.00036095851184946714,COMPLETE
46,0.9013100436681223,2025-11-08 23:10:20.146847,2025-11-08 23:15:04.384598,0 days 00:04:44.237751,4,0.7331988827911965,128,12,0.2531233335791024,19,150,2.1357128954223263,16,64,0.0003554334591232436,3,0.08666703133808322,0.5945486092683517,6,6,5.2499841746476835e-05,COMPLETE
47,0.9904926534140017,2025-11-08 23:15:04.385598,2025-11-08 23:26:05.567182,0 days 00:11:01.181584,3,0.8383230959996941,128,6,0.33976631157037057,15,178,1.715950476677222,8,64,0.0006361775296975733,6,0.01197832315556738,0.47438575479259354,10,2,0.00011255962428820497,COMPLETE
48,0.984375,2025-11-08 23:26:05.568181,2025-11-08 23:37:19.783327,0 days 00:11:14.215146,3,0.44580571359007476,64,6,0.3810699697652961,14,179,1.7030785213845192,8,64,0.0006850009111535865,6,0.013760549623932328,0.25267421634293585,10,2,0.00010555568753252623,COMPLETE
49,0.9913494809688581,2025-11-08 23:37:19.784326,2025-11-08 23:55:47.932772,0 days 00:18:28.148446,3,0.7553108355728331,128,5,0.33418569856773617,15,190,1.3334300818760394,8,64,0.0005663505263532541,6,0.011418711778362702,0.3725273546731616,10,3,0.00017330753947537376,COMPLETE
